source_node_index,target_node_index,source_iz_code,target_iz_code,percentage,weight,neighbour_rank
81,109,S02001923,S02001951,5.797978333890627e-06,5.797978333890627e-06,45
81,20,S02001923,S02001862,5.068698427438697e-06,5.068698427438697e-06,46
81,86,S02001923,S02001928,3.931617314379741e-06,3.931617314379741e-06,47
81,106,S02001923,S02001948,3.7650098633266704e-06,3.7650098633266704e-06,48
81,123,S02001923,S02001965,3.488231173989567e-06,3.488231173989567e-06,49
81,115,S02001923,S02001957,3.4407876154016997e-06,3.4407876154016997e-06,50
81,0,S02001923,S02001842,3.4300373008762352e-06,3.4300373008762352e-06,51
81,46,S02001923,S02001888,3.1367951464656608e-06,3.1367951464656608e-06,52
81,27,S02001923,S02001869,3.062595746983346e-06,3.062595746983346e-06,53
81,74,S02001923,S02001916,2.660395678533959e-06,2.660395678533959e-06,54
81,97,S02001923,S02001939,2.496601842769332e-06,2.496601842769332e-06,55
81,87,S02001923,S02001929,2.47256486923116e-06,2.47256486923116e-06,56
81,108,S02001923,S02001950,2.406950941075558e-06,2.406950941075558e-06,57
81,19,S02001923,S02001861,1.940410670779982e-06,1.940410670779982e-06,58
81,131,S02001923,S02001973,1.7455268335309134e-06,1.7455268335309134e-06,59
81,25,S02001923,S02001867,1.744155701971487e-06,1.744155701971487e-06,60
81,1,S02001923,S02001843,1.7207391230783756e-06,1.7207391230783756e-06,61
81,52,S02001923,S02001894,1.672034502448569e-06,1.672034502448569e-06,62
81,128,S02001923,S02001970,1.555570231243355e-06,1.555570231243355e-06,63
81,42,S02001923,S02001884,1.534002117836512e-06,1.534002117836512e-06,64
81,50,S02001923,S02001892,1.5082445836722522e-06,1.5082445836722522e-06,65
81,24,S02001923,S02001866,1.3373481499329246e-06,1.3373481499329246e-06,66
81,72,S02001923,S02001914,1.2534096879594122e-06,1.2534096879594122e-06,67
81,61,S02001923,S02001903,1.1216462199119204e-06,1.1216462199119204e-06,68
81,73,S02001923,S02001915,1.071054189731248e-06,1.071054189731248e-06,69
81,15,S02001923,S02001857,1.0543370841531568e-06,1.0543370841531568e-06,70
81,70,S02001923,S02001912,1.0381969971869936e-06,1.0381969971869936e-06,71
81,111,S02001923,S02001953,9.8181672035143e-07,9.8181672035143e-07,72
81,132,S02001923,S02001974,9.221490599239516e-07,9.221490599239516e-07,73
81,129,S02001923,S02001971,8.860698425958872e-07,8.860698425958872e-07,74
81,14,S02001923,S02001856,8.503328127693475e-07,8.503328127693475e-07,75
81,66,S02001923,S02001908,8.455702986977907e-07,8.455702986977907e-07,76
81,127,S02001923,S02001969,8.390647716619256e-07,8.390647716619256e-07,77
81,121,S02001923,S02001963,7.81516905005139e-07,7.81516905005139e-07,78
81,6,S02001923,S02001848,7.24259929732231e-07,7.24259929732231e-07,79
81,112,S02001923,S02001954,7.214209567369906e-07,7.214209567369906e-07,80
81,120,S02001923,S02001962,6.208081607591692e-07,6.208081607591692e-07,81
81,26,S02001923,S02001868,5.983898567405694e-07,5.983898567405694e-07,82
81,55,S02001923,S02001897,5.845735837183947e-07,5.845735837183947e-07,83
81,32,S02001923,S02001874,5.479282714982934e-07,5.479282714982934e-07,84
81,36,S02001923,S02001878,4.957397643567483e-07,4.957397643567483e-07,85
81,51,S02001923,S02001893,4.823473714213907e-07,4.823473714213907e-07,86
81,67,S02001923,S02001909,4.715967746118019e-07,4.715967746118019e-07,87
81,16,S02001923,S02001858,3.769702679108423e-07,3.769702679108423e-07,88
81,65,S02001923,S02001907,3.7495401025990125e-07,3.7495401025990125e-07,89
81,18,S02001923,S02001860,3.5532411276662217e-07,3.5532411276662217e-07,90
81,28,S02001923,S02001870,3.506530291122897e-07,3.506530291122897e-07,91
81,62,S02001923,S02001904,3.399271093349319e-07,3.399271093349319e-07,92
81,17,S02001923,S02001859,3.381645549219352e-07,3.381645549219352e-07,93
81,114,S02001923,S02001956,3.345137117887816e-07,3.345137117887816e-07,94
81,122,S02001923,S02001964,3.205454298600605e-07,3.205454298600605e-07,95
81,119,S02001923,S02001961,3.150683731566357e-07,3.150683731566357e-07,96
81,57,S02001923,S02001899,2.979195805155135e-07,2.979195805155135e-07,97
81,117,S02001923,S02001959,2.972389608149726e-07,2.972389608149726e-07,98
81,118,S02001923,S02001960,2.694203821538668e-07,2.694203821538668e-07,99
81,31,S02001923,S02001873,2.611416542720543e-07,2.611416542720543e-07,100
81,60,S02001923,S02001902,2.570019502338612e-07,2.570019502338612e-07,101
81,130,S02001923,S02001972,2.517294169527884e-07,2.517294169527884e-07,102
81,12,S02001923,S02001854,2.442277315963414e-07,2.442277315963414e-07,103
81,71,S02001923,S02001913,2.344571739349899e-07,2.344571739349899e-07,104
81,9,S02001923,S02001851,2.2876617134505249e-07,2.2876617134505249e-07,105
81,45,S02001923,S02001887,1.862580724625147e-07,1.862580724625147e-07,106
81,22,S02001923,S02001864,1.734068086712361e-07,1.734068086712361e-07,107
81,38,S02001923,S02001880,1.710164787243528e-07,1.710164787243528e-07,108
81,68,S02001923,S02001910,1.660298850287497e-07,1.660298850287497e-07,109
81,54,S02001923,S02001896,1.491531279579823e-07,1.491531279579823e-07,110
81,43,S02001923,S02001885,1.3106273532388473e-07,1.3106273532388473e-07,111
81,5,S02001923,S02001847,1.2357470082480616e-07,1.2357470082480616e-07,112
81,58,S02001923,S02001900,1.1310811989371873e-07,1.1310811989371873e-07,113
81,11,S02001923,S02001853,1.1046835415412254e-07,1.1046835415412254e-07,114
81,69,S02001923,S02001911,1.0552225893645009e-07,1.0552225893645009e-07,115
81,113,S02001923,S02001955,1.0535830262647281e-07,1.0535830262647281e-07,116
81,21,S02001923,S02001863,1.0205753494850989e-07,1.0205753494850989e-07,117
81,4,S02001923,S02001846,1.0036859938230308e-07,1.0036859938230308e-07,118
81,10,S02001923,S02001852,9.197466540565873e-08,9.197466540565873e-08,119
81,37,S02001923,S02001879,9.174378598628796e-08,9.174378598628796e-08,120
81,134,S02001923,S02001976,8.472374406631881e-08,8.472374406631881e-08,121
81,44,S02001923,S02001886,8.20503966939809e-08,8.20503966939809e-08,122
81,7,S02001923,S02001849,7.890799676258619e-08,7.890799676258619e-08,123
81,63,S02001923,S02001905,7.887758241507565e-08,7.887758241507565e-08,124
81,126,S02001923,S02001968,6.739224123373706e-08,6.739224123373706e-08,125
81,35,S02001923,S02001877,6.630312830555286e-08,6.630312830555286e-08,126
81,34,S02001923,S02001876,6.513784487701675e-08,6.513784487701675e-08,127
81,8,S02001923,S02001850,5.7716655451757795e-08,5.7716655451757795e-08,128
81,2,S02001923,S02001844,4.5769995569528735e-08,4.5769995569528735e-08,129
81,135,S02001923,S02001977,4.5297559796768075e-08,4.5297559796768075e-08,130
81,124,S02001923,S02001966,3.842118215696615e-08,3.842118215696615e-08,131
