source_node_index,target_node_index,source_iz_code,target_iz_code,multimodal_distance_km,shortest_mode,neighbour_rank,weight
56,57,S02001632,S02001633,1.1204964984634302,road,1,0.45888570455840416
56,60,S02001632,S02001636,1.58718507744918,bicycle,2,0.33174464790478575
56,58,S02001632,S02001634,1.6370734846858952,bicycle,3,0.32043639137194585
56,53,S02001632,S02001629,1.7978527929888242,bicycle,4,0.2865497518675794
56,55,S02001632,S02001631,2.114796740733057,bicycle,5,0.22988449827497828
57,53,S02001633,S02001629,1.1179225716030403,bicycle,1,0.4597075510625348
57,56,S02001633,S02001632,1.1204964984634302,bicycle,2,0.45888570455840416
57,58,S02001633,S02001634,1.3025069778971305,bicycle,3,0.4043455886499736
57,54,S02001633,S02001630,1.7362634807733652,bicycle,4,0.2990851266372826
57,59,S02001633,S02001635,1.794784287230481,walking,5,0.28716166763775786
58,59,S02001634,S02001635,0.5747451318658571,bicycle,1,0.6706183425921701
58,50,S02001634,S02001626,1.0618290766849627,bicycle,2,0.47798816495727225
58,60,S02001634,S02001636,1.206339337946852,bicycle,3,0.43230198390043223
58,57,S02001634,S02001633,1.3025069778971303,bicycle,4,0.4043455886499736
58,56,S02001634,S02001632,1.6370734846858956,bicycle,5,0.3204363913719458
59,58,S02001635,S02001634,0.5747451318658571,bicycle,1,0.6706183425921701
59,50,S02001635,S02001626,0.7273509857158585,road,2,0.6031166618807503
59,60,S02001635,S02001636,1.4007958957932494,bicycle,3,0.37763978620835353
59,61,S02001635,S02001637,1.522448838497499,road,4,0.3470154500594743
59,49,S02001635,S02001625,1.723128586237126,road,5,0.3018286401256127
60,58,S02001636,S02001634,1.2063393379468519,bicycle,1,0.4323019839004323
60,59,S02001636,S02001635,1.4007958957932496,bicycle,2,0.3776397862083535
60,61,S02001636,S02001637,1.4300935337920435,road,3,0.37002607290803846
60,56,S02001636,S02001632,1.5871850774491798,walking,4,0.3317446479047858
60,50,S02001636,S02001626,1.7119194402247935,bicycle,5,0.3041898117203504
61,62,S02001637,S02001638,0.9005305633593527,road,1,0.5347067852900516
61,49,S02001637,S02001625,1.128462361748142,walking,2,0.4563515284532394
61,50,S02001637,S02001626,1.1961521922964966,walking,3,0.4353743987141899
61,60,S02001637,S02001636,1.4300935337920435,road,4,0.37002607290803846
61,59,S02001637,S02001635,1.5224488384974992,walking,5,0.3470154500594743
62,61,S02001638,S02001637,0.9005305633593529,walking,1,0.5347067852900516
62,49,S02001638,S02001625,1.3039217338938103,walking,2,0.40394810243562623
62,63,S02001638,S02001639,1.3581707951096145,bicycle,3,0.388997607019956
62,69,S02001638,S02001645,1.487260273739146,bicycle,4,0.35560903853299486
62,68,S02001638,S02001644,1.6965393316310828,bicycle,5,0.3074596724224361
63,68,S02001639,S02001644,0.9365576404515984,bicycle,1,0.5214810789861661
63,69,S02001639,S02001645,1.2120045387000162,walking,2,0.43060276638469996
63,67,S02001639,S02001643,1.2515998855399268,bicycle,3,0.41891157368201604
63,62,S02001639,S02001638,1.3581707951096142,bicycle,4,0.38899760701995606
63,70,S02001639,S02001646,1.4443921258316148,bicycle,5,0.36636616401644856
64,65,S02001640,S02001641,1.3528487061412815,bicycle,1,0.39043950352107504
64,74,S02001640,S02001650,1.5013984491460697,walking,2,0.3521309950668275
64,73,S02001640,S02001649,2.0314021139668808,walking,3,0.24360591699216078
64,75,S02001640,S02001651,2.3079977878519307,bicycle,4,0.20099222575245465
64,66,S02001640,S02001642,2.46727636290035,walking,5,0.17992460541109986
65,74,S02001641,S02001650,0.44292784635346627,bicycle,1,0.7349759604624985
65,73,S02001641,S02001649,1.156495743044527,bicycle,2,0.4475440543146425
65,66,S02001641,S02001642,1.2428383487831853,walking,3,0.4214709097063885
65,64,S02001641,S02001640,1.3528487061412815,walking,4,0.39043950352107504
65,67,S02001641,S02001643,1.4052997899775685,walking,5,0.37645922755175454
66,67,S02001642,S02001643,0.5052886342984493,walking,1,0.7037937961007671
66,65,S02001642,S02001641,1.242838348783185,walking,2,0.42147090970638856
66,68,S02001642,S02001644,1.379224642166524,walking,3,0.38334556482019194
66,72,S02001642,S02001648,1.4281612170899023,walking,4,0.37052347056428026
66,63,S02001642,S02001639,1.456025755751133,walking,5,0.3634151113067903
