source_node_index,target_node_index,source_iz_code,target_iz_code,weight,shared_boundary_length_m
100,106,S02001942,S02001948,1,253.82894032122758
100,107,S02001942,S02001949,1,57.1630401309183
101,102,S02001943,S02001944,1,2381.246693405991
101,103,S02001943,S02001945,1,1430.6328565203476
101,105,S02001943,S02001947,1,800.0847606243296
102,103,S02001944,S02001945,1,1742.7884792891034
103,104,S02001945,S02001946,1,3230.703252872833
103,105,S02001945,S02001947,1,1543.4808912438334
104,105,S02001946,S02001947,1,1144.670405454664
104,106,S02001946,S02001948,1,166.7443348253979
104,128,S02001946,S02001970,1,1934.5867879153634
105,106,S02001947,S02001948,1,1233.1166485972508
106,107,S02001948,S02001949,1,1764.9225932879267
106,108,S02001948,S02001950,1,202.3372577966221
106,128,S02001948,S02001970,1,777.893139430702
107,108,S02001949,S02001950,1,931.3953569646652
108,109,S02001950,S02001951,1,584.9771218227899
108,115,S02001950,S02001957,1,489.08979956661625
108,116,S02001950,S02001958,1,965.7430198215778
108,128,S02001950,S02001970,1,2001.075364934526
109,110,S02001951,S02001952,1,661.237833160196
109,115,S02001951,S02001957,1,564.146504287702
110,111,S02001952,S02001953,1,2507.426942204842
110,114,S02001952,S02001956,1,1088.3677488209762
110,115,S02001952,S02001957,1,1508.9499549906727
111,112,S02001953,S02001954,1,1033.3893999001896
111,113,S02001953,S02001955,1,736.8982535893224
112,113,S02001954,S02001955,1,1367.107444427381
112,117,S02001954,S02001959,1,686.8482472800335
112,118,S02001954,S02001960,1,100.41912168506553
112,119,S02001954,S02001961,1,558.3230816528288
113,114,S02001955,S02001956,1,1303.3483518570476
113,117,S02001955,S02001959,1,658.7085554423886
114,115,S02001956,S02001957,1,1191.5599301896636
114,116,S02001956,S02001958,1,703.5550585902786
114,117,S02001956,S02001959,1,616.050192626327
115,116,S02001957,S02001958,1,939.0339805868068
116,117,S02001958,S02001959,1,863.9482868242785
116,118,S02001958,S02001960,1,666.3973888604778
116,120,S02001958,S02001962,1,739.0243822729352
116,125,S02001958,S02001967,1,233.64007894346636
116,127,S02001958,S02001969,1,793.6048977197252
116,128,S02001958,S02001970,1,1314.626096615333
116,129,S02001958,S02001971,1,932.5573965267031
117,118,S02001959,S02001960,1,1439.3258031467644
118,119,S02001960,S02001961,1,1529.9438727837796
118,120,S02001960,S02001962,1,1041.058881749498
119,120,S02001961,S02001962,1,565.8515362797175
119,121,S02001961,S02001963,1,2482.4948203038293
120,121,S02001962,S02001963,1,1576.1250546590827
120,125,S02001962,S02001967,1,393.0342254817286
121,122,S02001963,S02001964,1,1153.9870158843557
121,125,S02001963,S02001967,1,1252.9400787192828
122,123,S02001964,S02001965,1,1406.0623691771905
122,124,S02001964,S02001966,1,680.073596474042
122,125,S02001964,S02001967,1,434.3691549477302
123,124,S02001965,S02001966,1,1164.948928401568
123,131,S02001965,S02001973,1,406.95118895568976
124,125,S02001966,S02001967,1,1742.674177244941
124,126,S02001966,S02001968,1,17.72004514666935
124,131,S02001966,S02001973,1,311.01461412872237
125,126,S02001967,S02001968,1,3956.315284816545
125,127,S02001967,S02001969,1,517.9136336815593
126,127,S02001968,S02001969,1,1842.5925122980036
126,130,S02001968,S02001972,1,1115.0534183420953
126,131,S02001968,S02001973,1,1211.598842945498
127,129,S02001969,S02001971,1,2094.6503047604733
128,129,S02001970,S02001971,1,1698.882970472877
129,130,S02001971,S02001972,1,2835.5250808382943
130,131,S02001972,S02001973,1,769.612787314934
130,132,S02001972,S02001974,1,154.50692682005877
131,132,S02001973,S02001974,1,1679.3563834087247
131,135,S02001973,S02001977,1,364.4407162654759
132,133,S02001974,S02001975,1,3045.6909733797315
132,134,S02001974,S02001976,1,1042.1964245827419
132,135,S02001974,S02001977,1,633.4659104881749
133,134,S02001975,S02001976,1,2494.1918693587695
134,135,S02001976,S02001977,1,2222.7881695950277
